#BaseShapeInfo
Story,3
Zlebe,0,300,600,900
#MassCenter
MC   ,1,750,600
MC   ,2,750,600
MC   ,3,750,600

#Resp_Result
質点数, 3, 出力時間刻み(s), 0.01, ダンパー数, 0,出力単位, cm-rad,基礎変位含まない
Time(s),DX_1,DY_1,θZ_1,AX_1,AY_1,AX_2,DX_2,AY_2,DY_2,AθZ_2,DθZ_2,AX_3,DX_3,AY_3,DY_3,AθZ_3,DθZ_3,AX_R,DX_R,AY_R,DY_R,AθZ_R,DθZ_R,Extra_1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,-1.179088487e-7,0,0,0,0,0,-1.275170887e-7,0,0,0,0,0,-1.261591910e-7,0,0,0,0,0
0.02,0,0,0,0,0,0,-7.584763840e-7,0,0,0,0,0,-8.405830459e-7,0,0,0,0,0,-8.304275313e-7,0,0,0,0,0
0.03,0,0,0,0,0,0,-0.000004253,0,0,0,0,0,-0.000005061,0,0,0,0,0,-0.000005016,0,0,0,0,0
0.04,0,0,0,0,0,0,-0.000007747,0,0,0,0,0,-0.000009281,0,0,0,0,0,-0.000009202,0,0,0,0,0
0.05,0,0,0,0,0,0,-0.00001705,0,0,0,0,0,-0.000021521,0,0,0,0,0,-0.000021487,0,0,0,0,0
0.06,0,0,0,0,0,0,-0.000026353,0,0,0,0,0,-0.000033761,0,0,0,0,0,-0.000033772,0,0,0,0,0
0.07,0,0,0,0,0,0,-0.000041275,0,0,0,0,0,-0.000055749,0,0,0,0,0,-0.000056424,0,0,0,0,0
0.08,0,0,0,0,0,0,-0.000056198,0,0,0,0,0,-0.000077737,0,0,0,0,0,-0.000079076,0,0,0,0,0
0.09,0,0,0,0,0,0,-0.000078405,0,0,0,0,0,-0.000113002,0,0,0,0,0,-0.000116686,0,0,0,0,0
0.1,0,0,0,0,0,0,-0.000100612,0,0,0,0,0,-0.000148267,0,0,0,0,0,-0.000154297,0,0,0,0,0
0.11,0,0,0,0,0,0,-0.000152321,0,0,0,0,0,-0.000224459,0,0,0,0,0,-0.000235706,0,0,0,0,0
0.12,0,0,0,0,0,0,-0.00020403,0,0,0,0,0,-0.00030065,0,0,0,0,0,-0.000317116,0,0,0,0,0
0.13,0,0,0,0,0,0,-0.000307565,0,0,0,0,0,-0.000452825,0,0,0,0,0,-0.000479348,0,0,0,0,0
0.14,0,0,0,0,0,0,-0.000411101,0,0,0,0,0,-0.000605,0,0,0,0,0,-0.00064158,0,0,0,0,0
